data_votacao,status_votacao,conteudo_votacao,parlamentar,voto,obs
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Alan Rick,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Alessandro Vieira,-,Presente (art. 40 - em Missão)
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Ana Paula Lobato,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Angelo Coronel,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Astronauta Marcos Pontes,-,"art. 43, I - Licença saúde"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Augusta Brito,-,"art. 13, caput - Atividade parlamentar"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Beto Faro,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Carlos Portinho,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Carlos Viana,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Chico Rodrigues,-,Presente (art. 40 - em Missão)
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Cid Gomes,-,"art. 13, caput - Atividade parlamentar"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Ciro Nogueira,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Cleitinho,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Confúcio Moura,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Damares Alves,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Daniella Ribeiro,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Davi Alcolumbre,-,Presente (art. 40 - em Missão)
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Dr. Hiran,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Eduardo Braga,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Eduardo Girão,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Eduardo Gomes,-,"art. 13, caput - Atividade parlamentar"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Efraim Filho,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Eliziane Gama,-,"art. 13, caput - Atividade parlamentar"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Esperidião Amin,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Fabiano Contarato,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Fernando Dueire,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Fernando Farias,-,"art. 43, I - Licença saúde"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Flávio Arns,-,"art. 43, I - Licença saúde"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Flávio Bolsonaro,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Giordano,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Hamilton Mourão,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Humberto Costa,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Irajá,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Ivete da Silveira,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Izalci Lucas,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Jader Barbalho,-,"art. 13, caput - Atividade parlamentar"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Jaime Bagattoli,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Jaques Wagner,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Jayme Campos,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Jorge Kajuru,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Jorge Seif,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Jussara Lima,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Laércio Oliveira,-,"art. 13, caput - Atividade parlamentar"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Leila Barros,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Lucas Barreto,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Luis Carlos Heinze,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Magno Malta,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Mara Gabrilli,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Marcelo Castro,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Marcio Bittar,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Marcos Rogério,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Marcos do Val,-,"art. 43, I - Licença saúde"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Margareth Buzetti,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Mecias de Jesus,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Nelsinho Trad,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Omar Aziz,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Oriovisto Guimarães,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Otto Alencar,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Paulo Paim,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Plínio Valério,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Professora Dorinha Seabra,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Randolfe Rodrigues,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Renan Calheiros,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Rodrigo Cunha,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Rodrigo Pacheco,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Rogerio Marinho,-,"art. 43, I - Licença saúde"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Rogério Carvalho,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Romário,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Sergio Moro,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Soraya Thronicke,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Styvenson Valentim,-,"art. 43, I - Licença saúde"
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Sérgio Petecão,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Teresa Leitão,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Tereza Cristina,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Vanderlan Cardoso,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Veneziano Vital do Rêgo,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Wellington Fagundes,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Weverton,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Wilder Morais,-,Não registrou voto
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Zenaide Maia,Votou,
04/07/2023,Aprovado,Indicação de chefe de missão diplomática,Zequinha Marinho,Votou,
